id,status,news,chance_of_playing_this_round,chance_of_playing_next_round
366,a,,,
367,a,,,
368,a,,,
369,a,,,
370,i,Back injury - Unknown return date,0,0
371,a,,,
372,a,,,
373,u,Has joined Internazionale permanently,75,0
374,a,,100,100
375,a,,,
376,u,Has joined Celta Vigo permanently,0,0
377,a,,,
378,a,,,
379,a,,,
380,i,Achilles injury - Unknown return date,0,0
381,a,,,
382,a,,0,100
383,u,Has joined Valencia on loan for the rest of the season,,0
579,a,,,
627,a,,,
155,a,,,
237,a,,,
384,a,,,
386,a,,,
387,a,,,
388,a,,,
389,d,Unspecified injury - 75% chance of playing,75,75
390,a,,,
391,a,,,
392,a,,,
393,a,,,
394,u,Has joined Burnley on loan for the rest of the season,0,0
395,a,,,
396,a,,,
397,a,,,
398,a,,,
399,a,,,
400,i,Calf injury - Expected back 5 Sep,0,0
402,u,Has joined Barcelona permanently,0,0
404,u,Has joined Al Qadsiah permanently,0,0
406,a,,,
407,u,Has joined Benfica on loan for the rest of the season,,0
408,u,Has joined Sheffield United on loan for the rest of the season,0,0
409,u,has joined West Ham on loan for the rest of the seaon.,,0
410,u,Has joined Swansea City on loan for the rest of the season,,0
411,a,,,
481,a,,100,100
587,a,,,
616,a,,,
621,a,,,
622,a,,,
628,a,,,
43,a,,100,100
131,i,Ankle injury - Expected back 19 Sep,0,0
162,a,,,
325,a,,100,100
412,a,,,
413,u,Has joined Celta Vigo on loan for the rest of the season,0,0
414,i,Hamstring injury - Unknown return date,0,0
415,a,,,
416,i,Back injury - Unknown return date,0,0
417,a,,,
418,a,,,
419,a,,100,100
420,a,,,
421,a,,,
422,a,,,
423,a,,,
424,a,,,
425,u,Has joined Lausanne-Sport permanently,0,0
426,a,,,
427,a,,,
428,a,,,
429,a,,,
430,d,Foot injury - 75% chance of playing,75,75
431,i,Unspecified injury - Unknown return date,0,0
432,a,,,
433,i,Knee injury - Unknown return date,0,0
434,a,,,
435,a,,,
436,u,Has joined West Brom permanently,,0
437,a,,,
438,a,,,
439,a,,100,100
440,a,,,
441,a,,,
405,a,,,
442,a,,,
443,a,,,
444,a,,,
445,a,,,
446,a,,100,100
447,a,,,
448,i,Ankle injury - Expected back 14 Sep,0,0
449,a,,,
450,i,Calf injury - Unknown return date,0,0
451,u,Has joined FC Kaiserslautern on loan for the rest of the season,0,0
453,a,,,
454,a,,,
456,a,,,
457,a,,,
458,i,Unspecified injury - Unknown return date,0,0
459,a,,100,100
460,a,,,
461,a,,,
462,a,,,
463,u,Has joined Juventus on loan for the rest of the season,,0
464,a,,,
465,i,Foot injury - Unknown return date,0,0
466,u,Has joined Wolves on loan for the rest of the season,,0
559,a,,,
567,a,,,
593,a,,,
609,a,,,
634,a,,,
167,a,,,
201,a,,,
467,a,,,
468,a,,,
469,a,,,
470,u,Has joined West Ham on loan for the rest of the season,,0
471,a,,,
472,a,,100,100
473,a,,,
474,a,,,
475,i,Knee injury - Unknown return date,0,0
476,a,,,
477,u,Has joined Southampton on loan for the rest of the season,,0
478,a,,,
479,u,Has joined Charlton Athletic on loan for the rest of the season,,0
480,a,,100,100
482,a,,100,100
483,a,,,
484,u,Has joined AC Milan on loan for the rest of the season,,0
485,u,Has joined Lille on loan for the rest of the season,0,0
486,a,,,
487,a,,,
488,a,,0,100
489,a,,100,100
490,a,,,
491,a,,,
493,a,,,
558,a,,,
581,a,,,
590,a,,,
112,a,,,
147,a,,,
401,a,,,
403,d,Muscular injury - 75% chance of playing,,75
455,a,,,
494,u,Has joined Juventus on loan for the rest of the season,0,0
495,a,,,
496,a,,,
497,a,,,
498,a,,,
499,a,,100,100
500,u,Has joined Atletico Madrid permanently,0,0
502,a,,,
503,a,,100,100
505,u,Has joined Internazionale permanently,0,0
506,a,,,
507,u,Has joined Middlesbrough permanently,0,0
508,a,,,
509,a,,,
510,a,,,
511,u,Has joined FC Porto on loan for the rest of the season,,0
512,a,,75,100
513,i,Knee injury - Unknown return date,0,0
514,a,,,
515,d,Shoulder injury - 75% chance of playing,75,75
516,a,,,
517,i,Knee injury - Unknown return date,0,0
518,u,Has joined Juventus on loan for the rest of the season,0,0
519,a,,,
520,a,,,
521,i,Knee injury - Unknown return date,0,0
522,a,,,
523,u,Has joined FC Köln on loan for the rest of the season,,0
524,a,,,
525,a,,,
526,a,,,
527,u,not included in squad.,,0
528,u,Has joined Leyton Orient permanently,,0
578,a,,,
601,a,,,
501,a,,,
529,a,,,
530,u,Has joined Wrexham permanently,0,0
531,a,,,
532,a,,,
533,a,,100,100
534,a,,,
535,a,,100,100
536,a,,,
537,u,Has joined Swansea City on loan for the rest of the season,,0
538,u,Has joined KV Mechelen on loan for the rest of the season,0,0
539,a,,,
540,u,Has joined Konyaspor permanently,0,0
541,a,,100,100
542,a,,,
543,i,Hamstring injury - Unknown return date,,0
544,a,,,
545,a,,,
546,u,Has joined Ajax on loan for the rest of the season,0,0
547,a,,,
548,a,,,
549,a,,,
550,a,,,
551,a,,,
552,a,,,
553,a,,,
612,a,,0,100
613,a,,,
646,a,,,
651,a,,,
