name,position,team,xP,status,news,chance_of_playing_this_round,chance_of_playing_next_round,selected_by_percent,selected_rank,selected_rank_type,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Enes Ünal,FWD,Bournemouth,,u,Has joined Getafe permanently,,0,0.1,476,65,0,0,0,0,0,0.0,0,80,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,15,0,0,0,0,0,1,0,3581,0,0,1,2,0.0,0,0,0,0,55,False,0
Omari Hutchinson,MID,Nott'm Forest,,a,,,,0.2,366,132,0,0,0,0,0,0.0,0,484,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,13,0,0,0,0,0,1,0,15797,0,0,1,0,0.0,0,0,0,0,55,True,0
Joél Drakes-Thomas,MID,Crystal Palace,,a,,,,0.1,435,175,0,0,0,0,0,0.0,0,221,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,9,0,0,0,0,0,1,0,8076,0,0,0,2,0.0,0,0,0,0,45,False,0
Max Dowman,MID,Arsenal,,a,,,,0.1,420,168,0,0,0,0,0,0.0,0,20,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,False,7,0,0,0,0,0,1,0,8920,0,0,0,3,0.0,0,0,0,0,55,True,0
Wellity Lucky,DEF,Liverpool,,a,,,,0.1,409,145,0,0,0,0,0,0.0,0,361,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2026-08-23T15:30:00Z,0,False,17,0,0,0,0,0,1,0,10838,0,0,2,2,0.0,0,0,0,0,40,False,0
Ryan Giles,DEF,Hull City,,a,,,,0.8,209,79,0,0,24,1,5,18.8,6,282,0.07,0.09,0.02,1.76,4,0,0,3.7,13.8,2026-08-22T11:30:00Z,84,False,16,0,0,0,1,0,1,0,67208,1,1,0,2,4.0,6,0,0,0,40,True,0
Gianluigi Donnarumma,GK,Man City,,a,,,,8.5,50,6,0,0,12,0,1,0.0,0,384,0.00,0.00,0.00,0.65,8,1,0,2.7,26.8,2026-08-23T13:00:00Z,90,False,3,0,0,0,4,0,1,3,722204,1,0,1,2,0.0,3,0,0,0,55,True,0
Will Hughes,MID,Crystal Palace,,a,,,,11.9,33,11,0,0,0,0,0,0.0,0,212,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,9,0,0,0,0,0,1,0,1093674,0,0,0,2,0.0,0,0,0,0,45,False,0
Patrick Dorgu,MID,Man Utd,,a,,,,1.4,160,48,0,0,-11,0,1,1.2,1,415,0.03,0.50,0.47,0.92,4,2,0,0.7,0.0,2026-08-22T11:30:00Z,45,False,11,0,0,0,0,0,1,0,121744,1,0,0,2,16.0,0,0,0,0,60,False,1
Dejan Kulusevski,MID,Spurs,,i,Knee injury - Unknown return date,,0,0.0,572,241,0,0,0,0,0,0.0,0,521,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,False,4,0,0,0,0,0,1,0,949,0,0,0,3,0.0,0,0,0,0,65,False,0
Aaron Hickey,DEF,Brentford,,a,,,,0.1,470,163,0,0,2,0,0,0.3,0,90,0.00,0.00,0.00,0.10,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,14,False,19,0,0,0,2,0,1,0,5416,0,0,0,3,0.0,1,0,0,0,45,True,0
Rayan Aït-Nouri,DEF,Man City,,a,,,,0.9,196,73,0,0,0,0,0,0.0,0,392,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,3,0,0,0,0,0,1,0,79425,0,0,1,2,0.0,0,0,0,0,55,True,0
Victor Torp,MID,Coventry City,,a,,,,0.2,364,130,0,0,8,0,1,16.4,1,188,0.11,0.11,0.00,0.32,1,0,0,2.3,6.8,2026-08-21T19:00:00Z,28,False,1,0,0,0,0,0,1,0,15509,0,0,0,3,0.0,1,0,0,0,55,False,0
