name,position,team,xP,status,news,chance_of_playing_this_round,chance_of_playing_next_round,selected_by_percent,selected_rank,selected_rank_type,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,clearances_blocks_interceptions,defensive_contribution,recoveries,tackles,GW
Jayden Lienou,DEF,Leeds,0.0,,,,,,,,0,0,0,0,0.0,603,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,18,0,0,0,0,1,0,0,0,1,0,0.0,0,0,0,0,40,False,0,0,0,0,0,1
Bobby Thomas,DEF,Coventry City,,a,,,,7.9,53,21,0,0,11,0,11.2,173,0.01,0.03,0.02,1.88,1,3,0,3.5,23.2,2026-08-21T19:00:00Z,90,False,1,0,0,0,0,1,0,721945,1,0,3,1.0,3,0,0,0,40,False,0,9,10,2,1,1
Antonee Robinson,DEF,Fulham,,a,,,,1.8,131,53,0,0,4,0,25.2,254,0.04,0.17,0.13,2.21,10,3,0,5.0,21.6,2026-08-24T19:00:00Z,81,False,6,0,0,0,0,1,0,148513,1,3,2,3.0,1,0,0,0,45,True,0,4,7,5,3,1
Andrey Nascimento dos Santos,MID,Man Utd,,a,,,,1.1,184,62,0,0,17,0,4.2,162,0.23,0.23,0.00,0.94,4,2,0,1.8,11.4,2026-08-22T11:30:00Z,66,False,11,0,0,0,0,1,0,93940,1,0,2,2.0,2,0,0,0,50,False,0,3,9,5,1,1
Oliver Dovin,GK,Coventry City,,a,,,,1.7,133,20,0,0,0,0,0.0,171,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,False,1,0,0,0,0,1,0,142267,0,0,3,0.0,0,0,0,0,40,False,0,0,0,0,0,1
Ryan Gravenberch,MID,Liverpool,,a,,,,1.9,128,41,1,0,26,0,16.0,371,0.05,0.11,0.06,1.10,9,2,0,4.4,24.4,2026-08-23T15:30:00Z,77,False,17,0,0,0,0,1,0,172067,1,2,2,4.0,5,0,0,0,60,False,0,2,11,8,1,1
Christian Nørgaard,MID,Everton,,d,Unspecified injury - 25% chance of playing,,25,0.2,372,137,0,0,0,0,0.0,21,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,8,0,0,0,0,1,0,10920,0,0,2,0.0,0,0,0,0,50,True,0,0,0,0,0,1
Nico Elvedi,DEF,Leeds,,a,,,,0.0,573,194,0,0,0,0,0.0,598,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,18,0,0,0,0,1,0,1842,0,1,0,0.0,0,0,0,0,45,False,0,0,0,0,0,1
Matz Sels,GK,Nott'm Forest,,a,,,,1.6,150,23,0,0,11,0,0.0,467,0.00,0.00,0.00,0.47,6,1,0,1.4,14.2,2026-08-22T14:00:00Z,90,False,13,0,0,0,0,1,2,140711,1,1,0,0.0,2,0,0,0,50,True,0,0,0,9,0,1
Daniel James,MID,Leeds,,a,,,,0.1,406,159,0,0,0,0,0.0,343,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,18,0,0,0,0,1,0,11272,0,1,0,0.0,0,0,0,0,50,False,0,0,0,0,0,1
